radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,400,2,1358,62536,0,49.867630004883,40.371322631836,1000,8,1,1238982052,1238982052,0
GSM,400,2,1358,62534,0,49.86763,40.371094,1000,6,1,1238982049,1238982049,0
GSM,400,2,1386,61701,0,49.867630004883,40.371322631836,1000,1,1,1238982049,1238982049,0
GSM,400,2,1362,60702,0,49.867630004883,40.371322631836,1000,14,1,1238982051,1238982051,0
GSM,400,2,1386,61235,0,49.867630004883,40.371322631836,1000,2,1,1238982051,1238982051,0
GSM,400,2,1358,60066,0,49.867630004883,40.371322631836,1000,5,1,1238982053,1238982053,0
GSM,400,2,5011,43082,0,48.79508972168,38.587417602539,1000,285,1,1238982058,1238982058,0
GSM,400,2,5011,43083,0,48.79508972168,38.587417602539,1000,3,1,1238982053,1238982053,0
GSM,400,2,1330,43163,0,48.79441,41.459192,1418,1576,1,1238982137,1238982137,0
GSM,400,2,1330,46083,0,48.796407,41.458483,1325,342,1,1238982133,1238982133,0
GSM,400,2,1330,41111,0,48.793534,41.451885,1000,354,1,1238982131,1238982131,0
GSM,400,2,1330,43162,0,48.798118,41.45644,1093,360,1,1238982132,1238982132,0
GSM,400,2,1330,46082,0,48.802573,41.459865,1000,69,1,1238982115,1238982115,0
GSM,400,2,1330,46051,0,48.796463012695,41.447982788086,1000,2,1,1238982128,1238982128,0
GSM,400,2,1330,46081,0,48.803309,41.46559,1000,134,1,1238982134,1238982134,0
GSM,400,2,1330,43161,0,48.804476,41.465524,12556,241,1,1238982135,1238982135,0
GSM,400,2,1372,60613,0,49.818515,40.424639,1000,17,1,1238982111,1238982111,0
GSM,400,2,1372,62301,0,49.816818,40.417156,1000,8,1,1238982108,1238982108,0
GSM,400,2,1384,60554,0,49.810313,40.413244,1000,38,1,1238982108,1238982108,0
GSM,400,2,1384,61832,0,49.80296,40.411398,1000,11,1,1238982081,1238982081,0
GSM,400,2,1384,61831,0,49.804382,40.409698,1000,18,1,1238982079,1238982079,0
GSM,400,2,1384,60544,0,49.805104,40.408089,1000,66,1,1238982109,1238982109,0
GSM,400,2,1384,60496,0,49.807629,40.404267,1000,94,1,1238982110,1238982110,0
GSM,400,2,1372,62645,0,49.799881,40.417328,1000,6,1,1238982106,1238982106,0
GSM,400,2,1372,62644,0,49.796906,40.422306,1000,8,1,1238982081,1238982081,0
GSM,400,2,1372,62262,0,49.787979125977,40.430374145508,1000,1,1,1238982081,1238982081,0
GSM,400,2,1372,62646,0,49.78191,40.434182,3126,88,1,1238982110,1238982110,0
GSM,400,2,1396,60582,0,49.772797,40.441361,1081,18,1,1238982110,1238982110,0
GSM,400,2,1396,60583,0,49.764633178711,40.450973510742,1000,1,1,1238982081,1238982081,0
GSM,400,2,1396,60564,0,49.753124,40.459344,1000,21,1,1238982109,1238982109,0
GSM,400,2,1396,30211,0,49.735107,40.474405,1000,16,1,1238982109,1238982109,0
GSM,400,2,1396,30216,0,49.730091,40.47937,1000,59,1,1238982109,1238982109,0
GSM,400,2,1372,63094,0,49.817826,40.426115,1845,79,1,1238982111,1238982111,0
GSM,400,2,1330,43051,0,48.531663,41.359307,1000,28,1,1238982108,1238982108,0
GSM,400,2,1384,60552,0,49.805538,40.411393,1000,28,1,1238982109,1238982109,0
GSM,400,2,1384,61935,0,49.812698364258,40.405654907227,1000,3,1,1238982088,1238982088,0
GSM,400,2,1384,61936,0,49.812698364258,40.405654907227,1000,4,1,1238982088,1238982088,0
GSM,400,2,1376,32461,0,49.669876098633,40.537490844727,1000,1,1,1238982088,1238982088,0
GSM,400,2,1376,32496,0,49.645156860352,40.566329956055,1000,1,1,1238982088,1238982088,0
GSM,400,2,1376,32344,0,49.671402,40.586014,1000,9,1,1238982088,1238982088,0
GSM,400,2,1376,32515,0,49.67399597168,40.588302612305,1000,4,1,1238982088,1238982088,0
GSM,400,2,1376,32354,0,49.682235717773,40.580062866211,1000,1,1,1238982088,1238982088,0
GSM,400,2,1372,60612,0,49.818192,40.419788,1000,24,1,1238982108,1238982108,0
GSM,400,2,1372,62302,0,49.814917,40.415955,1000,26,1,1238982108,1238982108,0
GSM,400,2,1384,60494,0,49.808578491211,40.402908325195,1000,1,1,1238982106,1238982106,0
GSM,400,2,1372,62643,0,49.79621887207,40.42350769043,1000,1,1,1238982106,1238982106,0
GSM,400,2,1372,61942,0,49.78385925293,40.433120727539,1000,2,1,1238982106,1238982106,0
GSM,400,2,1372,61943,0,49.779739379883,40.43586730957,1000,2,1,1238982106,1238982106,0
GSM,400,2,1330,43052,0,48.52180480957,41.360092163086,1000,27,1,1238982108,1238982108,0
GSM,400,2,1384,60541,0,49.804115,40.409775,1000,4,1,1238982109,1238982109,0
GSM,400,2,1376,32452,0,49.696793,40.514145,1000,5,1,1238982109,1238982109,0
GSM,400,2,1396,30213,0,49.722061157227,40.485305786133,1000,1,1,1238982109,1238982109,0
GSM,400,2,1372,61941,0,49.794845581055,40.42350769043,1000,1,1,1238982110,1238982110,0
GSM,400,2,1372,60513,0,49.798965454102,40.418014526367,1000,1,1,1238982110,1238982110,0
GSM,400,2,1384,60546,0,49.803085,40.41056,1000,7,1,1238982110,1238982110,0
GSM,400,2,1372,61446,0,49.809494,40.417099,1000,3,1,1238982110,1238982110,0
GSM,400,2,1372,61444,0,49.817799,40.423508,1000,7,1,1238982110,1238982110,0
GSM,400,2,1330,46053,0,48.7963,41.447868,1000,84,1,1238982131,1238982131,0
GSM,400,2,1330,41112,0,48.79508972168,41.447982788086,1000,1,1,1238982130,1238982130,0
GSM,400,2,1330,44021,0,48.796463012695,41.44660949707,1000,1,1,1238982131,1238982131,0
GSM,400,1,500,2111,0,49.831238,40.372696,1000,2,1,1238982137,1238982137,0
GSM,400,1,1500,123,0,49.901897,40.457518,21609,3,1,1239001938,1481487028,0
GSM,400,1,1500,23,0,49.786836,40.430832,1392,6,1,1238982449,1238982449,0
GSM,400,1,900,191,0,49.823685,40.368772,1000,7,1,1238982153,1238982153,0
GSM,400,1,900,91,0,49.823685,40.36945,1000,22,1,1238982153,1238982153,0
GSM,400,1,500,852,0,49.823684692383,40.368576049805,1000,8,1,1238982138,1238982138,0
GSM,400,1,500,532,0,49.826431274414,40.364456176758,1000,1,1,1238982138,1238982138,0
GSM,400,1,500,1932,0,49.82522,40.366799,1000,34,1,1238982153,1238982153,0
